,id,name,symbol,slug,token_address,tags
70,34746,Limitus,LMT,limitus,86t88w3MKT38HChTBKBwEeb1RW1MeTceaW68qY2Vpump,"ai-big-data,solana-ecosystem,pump-fun-ecosystem,binance-alpha"
71,31830,Daddy Tate,DADDY,daddy-tate,4Cnk9EPnW5ixfLZatCPJjDB1PUtcRpVVgTQukm9epump,"memes,solana-ecosystem,celebrity-memes,pump-fun-ecosystem"
72,13524,Solend,SLND,solend,SLNDpmoWTVADgEdndyvWzroNL7zSi1dF9PC3xHGtPwp,"defi,solana-ecosystem,lending-borowing"
73,11213,Star Atlas DAO,POLIS,star-atlas-polis,poLisWXnNRwC6oBu1vHiuKQzFjGL4XDSu4g9qjz9qVk,"collectibles-nfts,gaming,solana-ecosystem,metaverse,petrock-capital-portfolio,play-to-earn"
74,35064,SwarmNode.ai,SNAI,swarmnode-ai,Hjw6bEcHtbHGpQr8onG3izfJY5DJiWdt7uk2BfdSpump,"ai-big-data,solana-ecosystem,pump-fun-ecosystem,binance-alpha,ai-agent-launchpad,defai"
75,16868,Shadow Token,SHDW,genesysgo-shadow,SHDWyBxihqiCj6YekG2GUr7wqKLeLAMK1gHZck9pL6y,"distributed-computing,storage,solana-ecosystem,depin,made-in-america"
76,11171,Mango,MNGO,mango-markets,MangoCzJ36AjZyKwVj3VnYU4GTonjfVEnJmvvWaxLac,"decentralized-exchange-dex-token,defi,derivatives,dao,dex,governance,solana-ecosystem,alleged-sec-securities"
77,31668,Billy (Bitcoin),BDC,billion-dollar-cat,BDCs2xEqzXyRpp9P6uPDnAvERpLKBfzHPEzbe3BfCxDY,"memes,solana-ecosystem,cat-themed,runes,animal-memes,runes-ecosystem"
78,35090,ORBIT,GRIFT,orbit-ai,GekTNfm84QfyP2GdAHZ5AgACBRd69aNmgA5FDhZupump,"ai-big-data,solana-ecosystem,pump-fun-ecosystem,binance-alpha,defai"
79,35669,Central African Republic Meme,CAR,central-african-republic-meme,7oBYdEhV4GkXC19ZfgAvXpJWp2Rn9pm1Bx2cVNxFpump,"memes,solana-ecosystem"
80,30912,MANEKI,MANEKI,maneki-coin,25hAyBQfoDhfWx9ay6rarbgvWGwDdNqcHsXS3jQ3mTDJ,"memes,solana-ecosystem,cat-themed,animal-memes"
81,35216,Pythia,PYTHIA,pythia,CreiuhfwdWCN5mJbMJtA9bBpYQrQF2tCBuZwSPWfpump,"ai-big-data,memes,solana-ecosystem,ai-memes,animal-memes,binance-alpha"
82,15752,Blockasset,BLOCK,blockasset,NFTUkR4u7wKxy9QLaX2TGvd9oZSWoMo4jqSJqdMb7Nk,"gambling,collectibles-nfts,solana-ecosystem,dao-maker,chiliz-chain-ecosystem"
83,35163,BOTIFY,BOTIFY,botify,BYZ9CcZGKAXmN2uDsKcQMM9UnZacija4vWcns9Th69xb,"ai-big-data,solana-ecosystem,ai-agents"
84,32615,Smoking Chicken Fish,SCF,smoking-chicken-fish,GiG7Hr61RVm4CSUxJmgiCoySFQtdiwxtqf64MsRppump,"memes,solana-ecosystem,pump-fun-ecosystem"
85,29241,GmeStop,GME,gme,8wXtPeU6557ETkp9WHFY1n1EcU6NxDvbAggHGsMYiHsB,"gaming,memes,solana-ecosystem,dwf-labs-portfolio"
86,9721,Samoyedcoin,SAMO,samoyedcoin,7xKXtg2CW87d97TXJSDpbD5jBkheTqA83TZRuJosgAsU,"memes,solana-ecosystem,doggone-doggerel,animal-memes"
87,36313,TROLL (SOL),TROLL,troll-sol,5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,"memes,solana-ecosystem,binance-alpha"
88,36292,Dark Eclipse,DARK,dark-eclipse,8BtoThi2ZoXnF7QQK1Wjmh2JuBw9FjVvhnGMVZ2vpump,"solana-ecosystem,pump-fun-ecosystem,binance-alpha"
89,10332,Stonks,STNK,stonks,43VWkd99HjqkhFTZbWBpMpRhjG469nWa7x7uEsgSH7We,"memes,solana-ecosystem,ip-memes"
90,30285,Mumu the Bull (SOL),MUMU,mumu-ing,5LafQUrVco6o7KMz42eqVEJ9LW31StPyGjeeu5sKoMtA,"memes,solana-ecosystem"
91,36171,Retard Finder Coin,RFC,retard-finder-coin,C3DwDjT17gDvvCYC2nsdGHxDHVmQRdhKfpAdqQ29pump,"solana-ecosystem,binance-alpha"
92,31510,Mother Iggy,MOTHER,mother-iggy,3S8qX1MsMqRbiwKg2cQyx7nis1oHMgaCuc9c4VfvVdPN,"adult,memes,solana-ecosystem,dwf-labs-portfolio,celebrity-memes,pump-fun-ecosystem,ip-memes"
93,35601,DOGEai,DOGEAI,dogeai,9UYAYvVS2cZ3BndbsoG1ScJbjfwyEPGxjE79hh5ipump,"memes,solana-ecosystem,animal-memes"
94,24686,Helium IOT,IOT,helium-iot,iotEVVZLEywoTn1QdwNPddxPWszn3zFhEot3MfL9fns,"distributed-computing,solana-ecosystem,depin"
95,31342,NATIX Network,NATIX,natix-network,FRySi8LPkuByB7VPSCCggxpewFUeeJiwEGRKKuhwpKcX,"ai-big-data,solana-ecosystem,depin"
96,33441,Dolan Duck,DOLAN,dolan-duck,4YK1njyeCkBuXG6phNtidJWKCbBhB659iwGkUJx98P5Z,"memes,solana-ecosystem"
97,33694,LUCE,LUCE,luce,CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,"memes,solana-ecosystem,pump-fun-ecosystem,binance-alpha"
98,33999,First Convicted Raccon Fred,FRED,first-convicted-raccon-fred,CNvitvFnSM5ed6K28RUNSaAjqqz5tX1rA5HgaBN9pump,"memes,solana-ecosystem,animal-memes,pump-fun-ecosystem"
99,35188,Hive AI,BUZZ,hive-ai,9DHe3pycTuymFk4H4bbPoAJ4hQrr2kaLDF6J6aAKpump,"ai-big-data,solana-ecosystem,pump-fun-ecosystem,binance-alpha,defai"
100,35945,Pwease,PWEASE,pwease,CniPCE4b3s8gSUPhUiyMjXnytrEqUrMfSsnbBjLCpump,"memes,solana-ecosystem,political-memes,moonshot"
101,34854,yesnoerror,YNE,yesnoerror,7D1iYWfhw2cr9yBZBFE6nZaaSUvXHqG5FizFFEZwpump,"ai-big-data,solana-ecosystem,ai-agents,pump-fun-ecosystem,binance-alpha"
102,11367,Aurory,AURY,aurory,AURYydfxJib1ZkTir1Jn1J9ECYUtjb6rKQVmtYaixWPP,"collectibles-nfts,gaming,solana-ecosystem,metaverse,play-to-earn,skyvision-capital-portfolio,dwf-labs-portfolio"
103,32103,MAD,MAD,mad-token,madHpjRn6bd8t78Rsy7NuSuNwWa2HU8ByPobZprHbHv,"memes,solana-ecosystem"
104,31044,Hege,HEGE,hege,ULwSJmmpxmnRfpu6BjnK6rprKXqD5jXUmPpS1FxHXFy,"memes,solana-ecosystem,cmc-community-vote-winners,animal-memes"
